,city,date,fare,ride_id,driver_count,type
0,Sarabury,2016-01-16 13:49:27,38.35,5403689035038,46,Urban
1,Sarabury,2016-07-23 07:42:44,21.76,7546681945283,46,Urban
2,Sarabury,2016-04-02 04:32:25,38.03,4932495851866,46,Urban
3,Sarabury,2016-06-23 05:03:41,26.82,6711035373406,46,Urban
4,Sarabury,2016-09-30 12:48:34,30.3,6388737278232,46,Urban
5,Sarabury,2016-08-04 00:25:52,27.2,2429366407526,46,Urban
6,Sarabury,2016-07-25 10:44:01,17.73,4467299640441,46,Urban
7,Sarabury,2016-06-22 16:24:01,23.94,6153395712431,46,Urban
8,Sarabury,2016-01-27 17:46:45,16.39,8220809448298,46,Urban
9,Sarabury,2016-04-26 11:31:30,21.8,5969441875705,46,Urban
10,Sarabury,2016-08-14 19:56:59,7.83,4979570237054,46,Urban
11,Sarabury,2016-01-06 03:02:55,5.19,9988466326333,46,Urban
12,Sarabury,2016-03-29 15:47:35,17.0,3574423871181,46,Urban
13,Sarabury,2016-11-20 11:44:23,28.47,3793266633941,46,Urban
14,Sarabury,2016-07-17 20:41:06,17.79,9661023488490,46,Urban
15,Sarabury,2016-11-06 02:23:59,19.48,7305651789766,46,Urban
16,Sarabury,2016-09-26 07:30:31,26.71,6310253827816,46,Urban
17,Sarabury,2016-06-04 20:50:52,14.19,8765571028809,46,Urban
18,Sarabury,2016-01-22 23:12:06,38.4,1176229756048,46,Urban
19,Sarabury,2016-03-29 19:07:55,20.56,7019491956393,46,Urban
20,Sarabury,2016-10-18 04:33:23,37.5,1054393799736,46,Urban
21,Sarabury,2016-09-30 20:41:18,44.32,2103508227691,46,Urban
22,Sarabury,2016-07-30 10:37:38,25.99,5233926699781,46,Urban
23,Sarabury,2016-04-01 07:15:24,6.94,1931215121299,46,Urban
24,Sarabury,2016-11-23 03:08:59,37.17,9141412183460,46,Urban
25,Sarabury,2016-10-23 02:40:28,17.23,1977978528067,46,Urban
26,Sarabury,2016-04-06 21:02:54,7.14,6096364843852,46,Urban
27,South Roy,2016-01-02 18:42:34,17.49,4036272335942,35,Urban
28,South Roy,2016-12-03 08:39:02,32.88,7098916182845,35,Urban
29,South Roy,2016-11-20 02:09:58,6.81,6512612750531,35,Urban
30,South Roy,2016-04-14 03:24:49,9.77,664212477922,35,Urban
31,South Roy,2016-07-06 07:37:56,21.04,900025947383,35,Urban
32,South Roy,2016-01-29 17:29:43,18.61,5084084186718,35,Urban
33,South Roy,2016-06-03 17:48:12,43.5,5316443198767,35,Urban
34,South Roy,2016-08-23 08:57:06,6.73,182674615916,35,Urban
35,South Roy,2016-08-25 03:24:08,40.56,7587703462098,35,Urban
36,South Roy,2016-10-31 21:45:38,28.07,9946481960987,35,Urban
37,South Roy,2016-06-10 06:56:59,31.69,7407997464120,35,Urban
38,South Roy,2016-04-08 03:51:38,11.09,2130185952936,35,Urban
39,South Roy,2016-01-23 12:55:44,38.6,6773263482008,35,Urban
40,South Roy,2016-03-15 13:52:42,25.0,6493499457044,35,Urban
41,South Roy,2016-08-08 08:26:33,44.34,417945335133,35,Urban
42,South Roy,2016-10-01 22:21:08,43.07,2192441706271,35,Urban
43,South Roy,2016-08-03 21:28:03,5.19,9820059837508,35,Urban
44,South Roy,2016-07-10 04:09:33,17.23,1510646299830,35,Urban
45,South Roy,2016-02-08 04:56:35,31.52,3284017542884,35,Urban
46,South Roy,2016-04-01 08:18:41,42.56,4913703623772,35,Urban
47,South Roy,2016-01-25 00:02:02,42.09,6940433136850,35,Urban
48,South Roy,2016-05-13 04:28:42,14.85,7755858811799,35,Urban
49,Wiseborough,2016-01-21 17:35:29,44.18,3645042422587,55,Urban
50,Wiseborough,2016-09-12 18:43:41,26.83,9304728540000,55,Urban
51,Wiseborough,2016-10-01 09:57:27,37.84,1617736281758,55,Urban
52,Wiseborough,2016-09-12 00:38:50,20.62,8634932507263,55,Urban
